https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｍｕｓｉｃ　ＢＡＲ　ＳＣＲＡＭＢＬＥ,,ｍｕｓｉｃ　ＢＡＲ　ＳＣＲＡＭＢＬＥ　,南風原町字津嘉山１５１６,２階,              ,飲食店営業,バー,金城功和,,R04.01.18,R04.01.18,第05202101129号,,466,ｍｕｓｉｃ　ＢＡＲ　ＳＣＲＡＭＢＬＥ　,098,,,,,南風原町字津嘉山１５１６,沖縄県島尻郡南風原町字津嘉山１５１６,２階,216402,47,47350,津嘉山,,2022/01/18,2022/01/18,,,,金城功和,,,,,,,,,第05202101129号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ｍｕｓｉｃＢＡＲＳＣＲＡＭＢＬＥ21640247350,718d35e1-885f-40ba-903b-8d5363b72d81,,personal,adbae960-85a7-447b-8118-67e1480b3ad2,2022/01/18,ｍｕｓｉｃ　ＢＡＲ　ＳＣＲＡＭＢＬＥ　,ｍｕｓｉｃＢＡＲＳＣＲＡＭＢＬＥ,
Ｆｉｋａ,,Ｆｉｋａ　,糸満市潮崎町３－６－２,,              ,菓子製造業,菓子製造業,玉城和代,,R04.01.26,R04.01.26,第05202101173号,,466,Ｆｉｋａ　,098,,,,,糸満市潮崎町３－６－２,沖縄県糸満市潮崎町３－６－２,,215853,47,47210,潮崎町３,,2022/01/26,2022/01/26,,,,玉城和代,,,,,,,,,第05202101173号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,Ｆｉｋａ21585347210,f087df57-b855-425e-b9b7-c8026fc80142,,personal,8bd306fd-7c93-45d6-9561-ddedb04917fa,2022/01/26,Ｆｉｋａ　,Ｆｉｋａ,
ナカマル鮮魚,,ナカマル鮮魚　,南城市玉城字前川２２５－１,,              ,魚介類販売業,魚介類販売業,中村光,,R04.01.26,R04.01.26,第05202101168号,,466,ナカマル鮮魚　,098,,,,,南城市玉城字前川２２５－１,沖縄県南城市玉城字前川２２５－１,,216128,47,47215,玉城,,2022/01/26,2022/01/26,,,,中村光,,,,,,,,,第05202101168号,,魚介類販売業, 魚介類販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,,,ナカマル鮮魚21612847215,4f5b35ee-cb3c-4e06-acd4-33c048c7f65d,,personal,21a22753-0be5-41c1-a924-a235f6d8a7bf,2022/01/26,ナカマル鮮魚　,ナカマル鮮魚,
クラウン,,クラウン　,南風原町字津嘉山８０９－３,,              ,飲食店営業,バー,神里明美,,R04.02.15,R04.02.15,第05202101240号,,466,クラウン　,098,,,,,南風原町字津嘉山８０９－３,沖縄県島尻郡南風原町字津嘉山８０９－３,,216402,47,47350,津嘉山,,2022/02/15,2022/02/15,,,,神里明美,,,,,,,,,第05202101240号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,クラウン21640247350,160f85ee-9fc1-4837-b1f2-46585d0cce36,,personal,c2bdd145-9b56-49fc-99c1-fc76aa65d145,2022/02/15,クラウン　,クラウン,
ボイス,,ボイス　,南風原町字津嘉山８０９－５,東宝ビル５　２０３号室,              ,飲食店営業,バー,神谷正綱,,R04.01.26,R04.01.26,第05202101172号,,466,ボイス　,098,,,,,南風原町字津嘉山８０９－５,沖縄県島尻郡南風原町字津嘉山８０９－５,東宝ビル５　２０３号室,216402,47,47350,津嘉山,,2022/01/26,2022/01/26,,,,神谷正綱,,,,,,,,,第05202101172号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ボイス21640247350,2bdfb89a-c28d-4929-8f67-a4f81be416cc,,personal,eb8acfaf-b935-4c90-877e-ce70e6373ef8,2022/01/26,ボイス　,ボイス,
カラオケ　はる,,カラオケ　はる　,南風原町字津嘉山８０９－６,東宝ビル７　２０４,              ,飲食店営業,スナック,外間静乃,,R04.02.15,R04.02.15,第05202101241号,,466,カラオケ　はる　,098,,,,,南風原町字津嘉山８０９－６,沖縄県島尻郡南風原町字津嘉山８０９－６,東宝ビル７　２０４,216402,47,47350,津嘉山,,2022/02/15,2022/02/15,,,,外間静乃,,,,,,,,,第05202101241号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケはる21640247350,12ae6b15-ef42-4e7c-94f3-8c2c1bd4b179,,personal,f5b76ece-9001-489c-9e37-9bb72c14a6d5,2022/02/15,カラオケ　はる　,カラオケはる,
カラオケ　スナック　夏姫,,カラオケ　スナック　夏姫　,糸満市西崎６－１４－７,西崎コミュニティービル　２－Ａ,              ,飲食店営業,スナック,金城和美,,R04.01.28,R04.01.28,第05202101187号,,466,カラオケ　スナック　夏姫　,098,,,,,糸満市西崎６－１４－７,沖縄県糸満市西崎６－１４－７,西崎コミュニティービル　２－Ａ,215850,47,47210,西崎６,,2022/01/28,2022/01/28,,,,金城和美,,,,,,,,,第05202101187号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケスナック夏姫21585047210,de4a3f88-5926-4373-b193-de7d82e11c04,,personal,c83b091f-18a7-4543-b67d-32e3fc92e49a,2022/01/28,カラオケ　スナック　夏姫　,カラオケスナック夏姫,
かぁちゃんの味,,かぁちゃんの味　,南風原町字津嘉山８８９－１,,              ,飲食店営業,そうざい,與那嶺修,,R03.12.17,R03.12.17,第05202101076号,,466,かぁちゃんの味　,098,,,,,南風原町字津嘉山８８９－１,沖縄県島尻郡南風原町字津嘉山８８９－１,,216402,47,47350,津嘉山,,2021/12/17,2021/12/17,,,,與那嶺修,,,,,,,,,第05202101076号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,かぁちゃんの味21640247350,e40b81ba-072f-45d5-b11d-21be4b816b51,,personal,b4efc664-1e44-4d3c-82b5-61105ec0edb3,2021/12/17,かぁちゃんの味　,かぁちゃんの味,
ローソン糸満西川店,,ローソン糸満西川店　,糸満市西川町２５－１２,,              ,飲食店営業,そうざい,赤嶺佑,,R04.01.28,R04.01.28,第05202101194号,,466,ローソン糸満西川店　,098,,,,,糸満市西川町２５－１２,沖縄県糸満市西川町２５－１２,,215847,47,47210,西川町,,2022/01/28,2022/01/28,,,,赤嶺佑,,,,,,,,,第05202101194号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ロソン糸満西川店21584747210,e1316ece-aefe-4df7-85c2-a9ecf3c0cee6,,personal,d95e7fe3-a814-43c9-b176-109dd288c59d,2022/01/28,ローソン糸満西川店　,ロソン糸満西川店,
メロディー,,メロディー　,浦添市勢理客３－１１－１,安謝橋ビル２－Ｄ,              ,飲食店営業,ﾅｲﾄｽﾅｯｸ,堀川ひろみ,,R04.01.31,R04.01.31,第05202101206号,,466,メロディー　,098,,,,,浦添市勢理客３－１１－１,沖縄県浦添市勢理客３－１１－１,安謝橋ビル２－Ｄ,215667,47,47208,勢理客３,,2022/01/31,2022/01/31,,,,堀川ひろみ,,,,,,,,,第05202101206号,,飲食店営業, ﾅｲﾄｽﾅｯｸ,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,メロディ21566747208,2aa5dfc4-dec1-4d63-bb78-f45ccebaedfe,,personal,d0aefe16-b072-4a1d-a568-57d3b98bc2d4,2022/01/31,メロディー　,メロディ,
Ｂａｒ　しんやたい,,Ｂａｒ　しんやたい　,浦添市屋富祖４－２－９,ツインマークビル８－Ａ号室,              ,飲食店営業,バー,内田和希,,R04.01.31,R04.01.31,第05202101208号,,466,Ｂａｒ　しんやたい　,098,,,,,浦添市屋富祖４－２－９,沖縄県浦添市屋富祖４－２－９,ツインマークビル８－Ａ号室,215713,47,47208,屋富祖４,,2022/01/31,2022/01/31,,,,内田和希,,,,,,,,,第05202101208号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,Ｂａｒしんやたい21571347208,c664eeee-06e8-4b2f-8ee5-3ceb0c6890d1,,personal,4fdb2865-ea28-4873-bd5f-1b61c8105711,2022/01/31,Ｂａｒ　しんやたい　,Ｂａｒしんやたい,
居酒屋　まん中のへや,,居酒屋　まん中のへや　,浦添市伊祖２－１０－９,１Ｆ,              ,飲食店営業,居酒屋,津嘉山悟,,R04.01.31,R04.01.31,第05202101209号,,466,居酒屋　まん中のへや　,098,,,,,浦添市伊祖２－１０－９,沖縄県浦添市伊祖２－１０－９,１Ｆ,215645,47,47208,伊祖２,,2022/01/31,2022/01/31,,,,津嘉山悟,,,,,,,,,第05202101209号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,居酒屋まん中のへや21564547208,ce4e4b11-67be-4ad1-967d-ff1c62220eef,,personal,5b87a5ea-4f91-46bb-a938-0c2581404759,2022/01/31,居酒屋　まん中のへや　,居酒屋まん中のへや,
ゆうか,,ゆうか　,浦添市内間３－３－２２,１Ｆ,              ,飲食店営業,食堂,真栄城律子,,R04.01.31,R04.01.31,第05202101212号,,466,ゆうか　,098,,,,,浦添市内間３－３－２２,沖縄県浦添市内間３－３－２２,１Ｆ,215651,47,47208,内間３,,2022/01/31,2022/01/31,,,,真栄城律子,,,,,,,,,第05202101212号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ゆうか21565147208,3a08db6d-70ab-408a-b4d8-4c6dad42353c,,personal,43f3c00e-b351-4a90-b68f-90c9f470558d,2022/01/31,ゆうか　,ゆうか,
カフェＳＳカンパニー,,カフェＳＳカンパニー　,南城市佐敷字津波古１００８－４,,              ,飲食店営業,ﾅｲﾄｽﾅｯｸ,瀨底正真,,R04.02.04,R04.02.04,第05202101207号,,466,カフェＳＳカンパニー　,098,,,,,南城市佐敷字津波古１００８－４,沖縄県南城市佐敷字津波古１００８－４,,216127,47,47215,佐敷,,2022/02/04,2022/02/04,,,,瀨底正真,,,,,,,,,第05202101207号,,飲食店営業, ﾅｲﾄｽﾅｯｸ,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カフェＳＳカンパニ21612747215,5f1de448-744d-4f60-8dd8-06acb2c43980,,personal,c480ee8a-162e-4a6a-9797-3713291b43c1,2022/02/04,カフェＳＳカンパニー　,カフェＳＳカンパニ,
ＰｉｎＱ,,ＰｉｎＱ　,浦添市経塚６２６,,              ,飲食店営業,バー,垣花昌朋,,R04.02.04,R04.02.04,第05202101217号,,466,ＰｉｎＱ　,098,,,,,浦添市経塚６２６,沖縄県浦添市経塚６２６,,215657,47,47208,経塚,,2022/02/04,2022/02/04,,,,垣花昌朋,,,,,,,,,第05202101217号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＰｉｎＱ21565747208,e7861ff6-dd11-4123-9f0c-0ed0d525cc65,,personal,ce4aa7fa-9628-4090-96aa-61b19cb7be07,2022/02/04,ＰｉｎＱ　,ＰｉｎＱ,
ＬＵＣＣＡ,,ＬＵＣＣＡ　,糸満市西崎６－１２－８　,４－Ｃ,              ,飲食店営業,バー,玉城元気,,R04.02.07,R04.02.07,第05202101223号,,466,ＬＵＣＣＡ　,098,,,,,糸満市西崎６－１２－８　,沖縄県糸満市西崎６－１２－８,４－Ｃ,215850,47,47210,西崎６,,2022/02/07,2022/02/07,,,,玉城元気,,,,,,,,,第05202101223号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＬＵＣＣＡ21585047210,246a73cc-2dae-4238-9982-9c6f54c6ca21,,personal,7dd80186-ac36-4858-b622-3e15ae5b9cc0,2022/02/07,ＬＵＣＣＡ　,ＬＵＣＣＡ,
沖縄そばｃａｆｅてんてん,,沖縄そばｃａｆｅてんてん　,八重瀬町字後原５７－２,１階,              ,飲食店営業,そば屋,山崎博望,,R03.12.28,R03.12.28,第05202101101号,,466,沖縄そばｃａｆｅてんてん　,098,,,,,八重瀬町字後原５７－２,沖縄県島尻郡八重瀬町後原５７－２,１階,701727,47,47362,後原,,2021/12/28,2021/12/28,,,,山崎博望,,,,,,,,,第05202101101号,,飲食店営業, そば屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,沖縄そばｃａｆｅてんてん70172747362,e10edc21-6558-4cbf-9295-aee2d714c179,,personal,50394fdf-6cb4-454f-a419-0dffe1d5cfb4,2021/12/28,沖縄そばｃａｆｅてんてん　,沖縄そばｃａｆｅてんてん,
コーヒーと酒　バ,,コーヒーと酒　バ　,浦添市仲西１－２－１,共和ビル２Ｆ－Ｄ,              ,飲食店営業,カフェー,椹木雄一朗,,R04.02.10,R04.02.10,第05202101230号,,466,コーヒーと酒　バ　,098,,,,,浦添市仲西１－２－１,沖縄県浦添市仲西１－２－１,共和ビル２Ｆ－Ｄ,215676,47,47208,仲西１,,2022/02/10,2022/02/10,,,,椹木雄一朗,,,,,,,,,第05202101230号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,コヒと酒バ21567647208,42f3a339-a4e8-40b8-94a6-ce06c7ac23c5,,personal,adb412a6-3e1f-42e5-b642-dd64b43b85e9,2022/02/10,コーヒーと酒　バ　,コヒと酒バ,
ｍｉｇｉｕｃｈｉ,,ｍｉｇｉｕｃｈｉ　,浦添市屋富祖１－３－２３,サニーパートナーエポックビル１０１,              ,飲食店営業,バー,島津隆都,,R04.02.10,R04.02.10,第05202101229号,,466,ｍｉｇｉｕｃｈｉ　,098,,,,,浦添市屋富祖１－３－２３,沖縄県浦添市屋富祖１－３－２３,サニーパートナーエポックビル１０１,215710,47,47208,屋富祖１,,2022/02/10,2022/02/10,,,,島津隆都,,,,,,,,,第05202101229号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ｍｉｇｉｕｃｈｉ21571047208,26dd266f-71c5-4417-9e86-ac3b067e01a9,,personal,fa6264aa-125d-4e21-b752-0b57367883b0,2022/02/10,ｍｉｇｉｕｃｈｉ　,ｍｉｇｉｕｃｈｉ,
なかゆくい,,なかゆくい　,浦添市屋富祖４－９－３,西原アパート１０３号,              ,飲食店営業,カフェー,岸本利子,,R04.02.15,R04.02.15,第05202101234号,,466,なかゆくい　,098,,,,,浦添市屋富祖４－９－３,沖縄県浦添市屋富祖４－９－３,西原アパート１０３号,215713,47,47208,屋富祖４,,2022/02/15,2022/02/15,,,,岸本利子,,,,,,,,,第05202101234号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,なかゆくい21571347208,fe73cd69-3ad7-46a1-a195-e1c2d2564018,,personal,2cd96fe9-5434-4b8a-b758-a8f71fdd4b98,2022/02/15,なかゆくい　,なかゆくい,
ラウンジ蝶,,ラウンジ蝶　,浦添市経塚５１８,テナントビルてぃーだ・２E,              ,飲食店営業,スナック,上原久美子,,R04.02.15,R04.02.15,第05202101236号,,466,ラウンジ蝶　,098,,,,,浦添市経塚５１８,沖縄県浦添市経塚５１８,テナントビルてぃーだ・２E,215657,47,47208,経塚,,2022/02/15,2022/02/15,,,,上原久美子,,,,,,,,,第05202101236号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ラウンジ蝶21565747208,44450969-8755-4b7b-b9ea-8f1fb46786a9,,personal,4f180589-d437-4a0c-8176-9be76e9b8e9b,2022/02/15,ラウンジ蝶　,ラウンジ蝶,
いなか　野草　グリーン,,いなか　野草　グリーン　,八重瀬町字富盛２７１,,              ,そうざい製造業,そうざい製造業,伊仲道千丞,,R04.01.18,R04.01.18,第05202101130号,,466,いなか　野草　グリーン　,098,,,,,八重瀬町字富盛２７１,沖縄県島尻郡八重瀬町富盛２７１,,701721,47,47362,富盛,,2022/01/18,2022/01/18,,,,伊仲道千丞,,,,,,,,,第05202101130号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,いなか野草グリン70172147362,f2456f32-d702-4200-bfc0-9ad43ee68bb7,,personal,e4b4be0d-6eb8-45ff-9983-a522219b7422,2022/01/18,いなか　野草　グリーン　,いなか野草グリン,
いなか　野草　グリーン,,いなか　野草　グリーン　,八重瀬町字富盛２７１,,              ,飲食店営業,食堂,伊仲道千丞,,R04.01.18,R04.01.18,第05202101131号,,466,いなか　野草　グリーン　,098,,,,,八重瀬町字富盛２７１,沖縄県島尻郡八重瀬町富盛２７１,,701721,47,47362,富盛,,2022/01/18,2022/01/18,,,,伊仲道千丞,,,,,,,,,第05202101131号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,いなか野草グリン70172147362,f2456f32-d702-4200-bfc0-9ad43ee68bb7,,personal,eaa1faa0-0e07-40df-a4a1-a6aad72c9155,2022/01/18,いなか　野草　グリーン　,いなか野草グリン,
酒処　裕,,酒処　裕　,八重瀬町字友寄９０３－８,,              ,飲食店営業,ﾅｲﾄｽﾅｯｸ,新垣美智代,,R04.01.27,R04.01.27,第05202101184号,,466,酒処　裕　,098,,,,,八重瀬町字友寄９０３－８,沖縄県島尻郡八重瀬町字友寄９０３－８,,701084,47,47362,友寄,,2022/01/27,2022/01/27,,,,新垣美智代,,,,,,,,,第05202101184号,,飲食店営業, ﾅｲﾄｽﾅｯｸ,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,酒処裕70108447362,254d6e10-09df-47dc-afd0-98ad31120381,,personal,4344b228-4f2f-42fb-a5db-a13be7afd09d,2022/01/27,酒処　裕　,酒処裕,
汁物屋　ＰＯＮＯ,,汁物屋　ＰＯＮＯ　,糸満市糸満９８９－８３,Ｄ－８,              ,飲食店営業,食堂,西平仁奈,,R04.02.15,R04.02.15,第05202101238号,,466,汁物屋　ＰＯＮＯ　,098,,,,,糸満市糸満９８９－８３,沖縄県糸満市糸満９８９－８３,Ｄ－８,215815,47,47210,糸満,,2022/02/15,2022/02/15,,,,西平仁奈,,,,,,,,,第05202101238号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,汁物屋ＰＯＮＯ21581547210,6459e2f8-b703-4d78-a7ed-880bb51c355e,,personal,0006e325-35e0-4c1a-bd02-75d864600a72,2022/02/15,汁物屋　ＰＯＮＯ　,汁物屋ＰＯＮＯ,
酒処　さち,,酒処　さち　,与那原町字与那原１０４９－２,与儀アパート１０２号,              ,飲食店営業,スナック,平良幸子,,R04.02.25,R04.02.25,第05202101278号,,466,酒処　さち　,098,,,,,与那原町字与那原１０４９－２,沖縄県島尻郡与那原町字与那原１０４９－２,与儀アパート１０２号,216419,47,47348,与那原,,2022/02/25,2022/02/25,,,,平良幸子,,,,,,,,,第05202101278号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,酒処さち21641947348,af1e6b96-717f-4626-9fcb-2a879dc7115a,,personal,4ef98c7c-edca-4788-b9bb-080540d977f7,2022/02/25,酒処　さち　,酒処さち,
ＢＡＲ　Ｙ・ｆｅｓｔａ,,ＢＡＲ　Ｙ・ｆｅｓｔａ　,与那原町字与那原３１５５,与那原マンション202号室,              ,飲食店営業,バー,仲間修斗,,R04.02.24,R04.02.24,第05202101267号,,466,ＢＡＲ　Ｙ・ｆｅｓｔａ　,098,,,,,与那原町字与那原３１５５,沖縄県島尻郡与那原町字与那原３１５５,与那原マンション202号室,216419,47,47348,与那原,,2022/02/24,2022/02/24,,,,仲間修斗,,,,,,,,,第05202101267号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＢＡＲＹｆｅｓｔａ21641947348,8cb598e7-4d51-4483-977a-d17a79d17393,,personal,0cec1a06-4612-4f78-92da-74c8e303857c,2022/02/24,ＢＡＲ　Ｙ・ｆｅｓｔａ　,ＢＡＲＹｆｅｓｔａ,
