,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安田　幸夫,,知多ムッカ,名古屋市中区錦三丁目３番２４号　第二桜ビル１階Ａ号室,名古屋市中区錦３丁目３番２４号,第二桜ビル１階Ａ号室,,飲食店営業,2022/7/19,4中保管第1-654号,2022/7/30,2028/8/20,,名古屋市保健所,知多ムッカ,052,,,,,名古屋市中区錦３丁目３番２４号,愛知県名古屋市中区錦３丁目３番２４号,第二桜ビル１階Ａ号室,114880,愛知県,名古屋市中区,錦３,,2022/07/19,,2022/07/30,2028/08/20,,安田　幸夫,,,,,,,,,4中保管第1-654号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,知多ムッカ,知多ムッカ,,,1,,,,,
小笠原　拓,,ＴＨＥ　ＰｉＮＫ,名古屋市中区錦三丁目１３番１９号　アロン錦Ｂ　３階西号室,名古屋市中区錦３丁目１３番１９号,アロン錦Ｂ ３階西号室,,飲食店営業,2022/7/20,4中保管第1-724号,2022/7/20,2028/7/20,,名古屋市保健所,ＴＨＥ　ＰｉＮＫ,052,,,,,名古屋市中区錦３丁目１３番１９号,愛知県名古屋市中区錦３丁目１３番１９号,アロン錦Ｂ ３階西号室,114880,愛知県,名古屋市中区,錦３,,2022/07/20,,2022/07/20,2028/07/20,,小笠原　拓,,,,,,,,,4中保管第1-724号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＴＨＥ　ＰｉＮＫ,ＴＨＥＰｉＮＫ,,,1,,,,,
是清　秀一,,Ｃａｆｅ　Ｇｉｅｒ,名古屋市中区栄四丁目６番１８号　パールプラザビル　４Ｆ　４０３,名古屋市中区栄４丁目６番１８号,パールプラザビル ４Ｆ ４０３,,飲食店営業,2022/7/20,4中保管第1-697号,2022/7/20,2028/7/20,,名古屋市保健所,Ｃａｆｅ　Ｇｉｅｒ,052,,,,,名古屋市中区栄４丁目６番１８号,愛知県名古屋市中区栄４丁目６番１８号,パールプラザビル ４Ｆ ４０３,114858,愛知県,名古屋市中区,栄４,,2022/07/20,,2022/07/20,2028/07/20,,是清　秀一,,,,,,,,,4中保管第1-697号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃａｆｅ　Ｇｉｅｒ,ＣａｆｅＧｉｅｒ,,,1,,,,,
池田　雄,,Ｎｏ．,名古屋市中区栄四丁目１１番１６号　ウォークライオンビル３０５,名古屋市中区栄４丁目１１番１６号, ウォークライオンビル３０５,,飲食店営業,2022/7/20,4中保管第1-756号,2022/7/20,2028/7/20,,名古屋市保健所,Ｎｏ．,052,,,,,名古屋市中区栄４丁目１１番１６号,愛知県名古屋市中区栄４丁目１１番１６号, ウォークライオンビル３０５,114858,愛知県,名古屋市中区,栄４,,2022/07/20,,2022/07/20,2028/07/20,,池田　雄,,,,,,,,,4中保管第1-756号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｎｏ．,Ｎｏ,,,1,,,,,
祖父江　多喜,,らうんじ　凛℃,名古屋市中区錦三丁目１７番３号　サンプラザビル　地下１階６号室,名古屋市中区錦３丁目１７番３号,サンプラザビル 地下１階６号室,052-684-4171,飲食店営業,2022/7/20,4中保管第1-725号,2022/7/20,2028/7/20,,名古屋市保健所,らうんじ　凛℃,052,052-684-4171,,,,名古屋市中区錦３丁目１７番３号,愛知県名古屋市中区錦３丁目１７番３号,サンプラザビル 地下１階６号室,114880,愛知県,名古屋市中区,錦３,,2022/07/20,,2022/07/20,2028/07/20,,祖父江　多喜,,,,,,,,,4中保管第1-725号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,らうんじ　凛℃,らうんじ凛,,,1,,,,,
熊田　博克,,ＢＡＲ　ＥＬＥＶＥＮ,名古屋市中区錦三丁目１９番２６号　ＡＴＳ錦ビル　４階　Ｇ０４００号室,名古屋市中区錦３丁目１９番２６号, ＡＴＳ錦ビル ４階 Ｇ０４００号室,052-211-7032,飲食店営業,2022/7/20,4中保管第1-733号,2022/7/20,2028/7/20,,名古屋市保健所,ＢＡＲ　ＥＬＥＶＥＮ,052,052-211-7032,,,,名古屋市中区錦３丁目１９番２６号,愛知県名古屋市中区錦３丁目１９番２６号, ＡＴＳ錦ビル ４階 Ｇ０４００号室,114880,愛知県,名古屋市中区,錦３,,2022/07/20,,2022/07/20,2028/07/20,,熊田　博克,,,,,,,,,4中保管第1-733号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ　ＥＬＥＶＥＮ,ＢＡＲＥＬＥＶＥＮ,,,1,,,,,
株式会社　Ｋｅｅ 代表取締役　森下　慶一,,ｃｈｏｕｃｈｏｕ,名古屋市中区錦三丁目４番２５号　マリオット錦ＮＯＲＴＨ　３階全号室,名古屋市中区錦３丁目４番２５号,マリオット錦ＮＯＲＴＨ ３階全号室,,飲食店営業,2022/7/21,4中保管第1-482号,2022/7/21,2028/7/20,,名古屋市保健所,ｃｈｏｕｃｈｏｕ,052,,,,,名古屋市中区錦３丁目４番２５号,愛知県名古屋市中区錦３丁目４番２５号,マリオット錦ＮＯＲＴＨ ３階全号室,114880,愛知県,名古屋市中区,錦３,,2022/07/21,,2022/07/21,2028/07/20,株式会社　Ｋｅｅ ,代表取締役　森下　慶一,,,,,,,,,4中保管第1-482号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｃｈｏｕｃｈｏｕ,ｃｈｏｕｃｈｏｕ,株式会社Ｋｅｅ　,,1,,,,,
有限会社 ＴＷＩＮＳ 代表取締役　佐藤玲子,,ＡＵＮＴＩＥ。,名古屋市中区錦三丁目１２番３０号　第二ワシントンＡＮＮＥＸビル７階部屋番号７－７号室,名古屋市中区錦３丁目１２番３０号,第二ワシントンＡＮＮＥＸビル７階部屋番号７－７号室,961-4567,飲食店営業,2022/7/20,4中保管第1-694号,2022/7/21,2028/7/20,,名古屋市保健所,ＡＵＮＴＩＥ。,052,052-961-4567,,,,名古屋市中区錦３丁目１２番３０号,愛知県名古屋市中区錦３丁目１２番３０号,第二ワシントンＡＮＮＥＸビル７階部屋番号７－７号室,114880,愛知県,名古屋市中区,錦３,,2022/07/20,,2022/07/21,2028/07/20,有限会社 ＴＷＩＮＳ ,代表取締役　佐藤玲子,,,,,,,,,4中保管第1-694号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＵＮＴＩＥ。,ＡＵＮＴＩＥ,有限会社ＴＷＩＮＳ　,,1,,,,,
福田　哲也,,ＲＯＣＫＩＮ’　ＲＯＢＩＮ　ＬＡＢＯＲＡＴＯＲＹ,名古屋市中区大須三丁目３３番３５号　,名古屋市中区大須３丁目３３番３５号, ,,飲食店営業,2022/7/21,4中保管第1-762号,2022/7/21,2028/7/20,,名古屋市保健所,ＲＯＣＫＩＮ’　ＲＯＢＩＮ　ＬＡＢＯＲＡＴＯＲＹ,052,,,,,名古屋市中区大須３丁目３３番３５号,愛知県名古屋市中区大須３丁目３３番３５号, ,114845,愛知県,名古屋市中区,大須３,,2022/07/21,,2022/07/21,2028/07/20,,福田　哲也,,,,,,,,,4中保管第1-762号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＲＯＣＫＩＮ＇　ＲＯＢＩＮ　ＬＡＢＯＲＡＴＯＲＹ,ＲＯＣＫＩＮＲＯＢＩＮＬＡＢＯＲＡＴＯＲＹ,,,1,,,,,
株式会社　Ａｓｓｅｔ　Ｌａｂ 代表取締役　油布　賢一,052-261-5501,ほしのとおりみち,名古屋市中区大須四丁目１番７９号　第２林ビル　１F,名古屋市中区大須４丁目１番７９号,第２林ビル １F,,飲食店営業,2022/7/21,4中保管第1-722号,2022/7/29,2028/8/20,,名古屋市保健所,ほしのとおりみち,052,,,,,名古屋市中区大須４丁目１番７９号,愛知県名古屋市中区大須４丁目１番７９号,第２林ビル １F,114846,愛知県,名古屋市中区,大須４,,2022/07/21,,2022/07/29,2028/08/20,株式会社　Ａｓｓｅｔ　Ｌａｂ ,代表取締役　油布　賢一,052-261-5501,,,,,,,,4中保管第1-722号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ほしのとおりみち,ほしのとおりみち,株式会社Ａｓｓｅｔ　Ｌａｂ　,,1,,,,,
中内　麻央,,ＷＯＲＬＤ　ＮＡＧＯＹＡ,名古屋市中区栄四丁目１１番１０号　東京ビル５階全号室,名古屋市中区栄４丁目１１番１０号,東京ビル５階全号室,,飲食店営業,2022/7/22,4中保管第1-735号,2022/7/22,2028/8/20,,名古屋市保健所,ＷＯＲＬＤ　ＮＡＧＯＹＡ,052,,,,,名古屋市中区栄４丁目１１番１０号,愛知県名古屋市中区栄４丁目１１番１０号,東京ビル５階全号室,114858,愛知県,名古屋市中区,栄４,,2022/07/22,,2022/07/22,2028/08/20,,中内　麻央,,,,,,,,,4中保管第1-735号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＷＯＲＬＤ　ＮＡＧＯＹＡ,ＷＯＲＬＤＮＡＧＯＹＡ,,,1,,,,,
株式会社　ＣＡＴＳ 代表取締役　三住　和基,06-6375-8050,ＥＰＩＰＨＡＮＹ,名古屋市中区栄四丁目４番４号　栄メッツビル３階Ｄ号,名古屋市中区栄４丁目４番４号,栄メッツビル３階Ｄ号,,飲食店営業,2022/7/22,4中保管第1-770号,2022/7/22,2028/8/20,,名古屋市保健所,ＥＰＩＰＨＡＮＹ,052,,,,,名古屋市中区栄４丁目４番４号,愛知県名古屋市中区栄４丁目４番４号,栄メッツビル３階Ｄ号,114858,愛知県,名古屋市中区,栄４,,2022/07/22,,2022/07/22,2028/08/20,株式会社　ＣＡＴＳ ,代表取締役　三住　和基,06-6375-8050,,,,,,,,4中保管第1-770号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＥＰＩＰＨＡＮＹ,ＥＰＩＰＨＡＮＹ,株式会社ＣＡＴＳ　,,1,,,,,
株式会社　ＢＴＳ 代表取締役　山本　兼矢,03-5534-9772,ＢＵＲＬＥＳＱＵＥ　ＴＳ,名古屋市中区錦三丁目１８番１２号　Ｍｉｎｅｘ８８　地上８階８０１号室,名古屋市中区錦３丁目１８番１２号,Ｍｉｎｅｘ８８ 地上８階８０１号室,052-228-4141,飲食店営業,2022/7/22,4中保管第1-748号,2022/7/22,2028/8/20,,名古屋市保健所,ＢＵＲＬＥＳＱＵＥ　ＴＳ,052,052-228-4141,,,,名古屋市中区錦３丁目１８番１２号,愛知県名古屋市中区錦３丁目１８番１２号,Ｍｉｎｅｘ８８ 地上８階８０１号室,114880,愛知県,名古屋市中区,錦３,,2022/07/22,,2022/07/22,2028/08/20,株式会社　ＢＴＳ ,代表取締役　山本　兼矢,03-5534-9772,,,,,,,,4中保管第1-748号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＵＲＬＥＳＱＵＥ　ＴＳ,ＢＵＲＬＥＳＱＵＥＴＳ,株式会社ＢＴＳ　,,1,,,,,
粟生　泰和,,ＬＩＧＡＹＡ,名古屋市中区栄四丁目２０番２４号　栄池田パークビル　６Ｆ　Ｂ,名古屋市中区栄４丁目２０番２４号,栄池田パークビル ６Ｆ Ｂ,,飲食店営業,2022/7/25,4中保管第1-752号,2022/7/25,2028/8/20,,名古屋市保健所,ＬＩＧＡＹＡ,052,,,,,名古屋市中区栄４丁目２０番２４号,愛知県名古屋市中区栄４丁目２０番２４号,栄池田パークビル ６Ｆ Ｂ,114858,愛知県,名古屋市中区,栄４,,2022/07/25,,2022/07/25,2028/08/20,,粟生　泰和,,,,,,,,,4中保管第1-752号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＬＩＧＡＹＡ,ＬＩＧＡＹＡ,,,1,,,,,
株式会社　ＨＵＬＫ 代表取締役　中濵　亮,,ＡＤＤＩＣＴ,名古屋市中区錦三丁目１３番５号　中央マンションビル１０１－１号室,名古屋市中区錦３丁目１３番５号, 中央マンションビル１０１－１号室,,飲食店営業,2022/7/22,4中保管第1-717号,2022/8/1,2028/8/20,,名古屋市保健所,ＡＤＤＩＣＴ,052,,,,,名古屋市中区錦３丁目１３番５号,愛知県名古屋市中区錦３丁目１３番５号, 中央マンションビル１０１－１号室,114880,愛知県,名古屋市中区,錦３,,2022/07/22,,2022/08/01,2028/08/20,株式会社　ＨＵＬＫ ,代表取締役　中濵　亮,,,,,,,,,4中保管第1-717号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＤＤＩＣＴ,ＡＤＤＩＣＴ,株式会社ＨＵＬＫ　,,1,,,,,
尹　河竣,,マウム（ＭＡＵＭ）,名古屋市中区新栄一丁目９番２７号　,名古屋市中区新栄１丁目９番２７号, ,,飲食店営業,2022/7/26,4中保管第1-808号,2022/7/27,2028/8/20,,名古屋市保健所,マウム（ＭＡＵＭ）,052,,,,,名古屋市中区新栄１丁目９番２７号,愛知県名古屋市中区新栄１丁目９番２７号, ,114865,愛知県,名古屋市中区,新栄１,,2022/07/26,,2022/07/27,2028/08/20,,尹　河竣,,,,,,,,,4中保管第1-808号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,マウム（ＭＡＵＭ）,マウムＭＡＵＭ,,,1,,,,,
株式会社　シンゲツ 代表取締役　橋川　登,052-957-3888,Ｗｉｎｅ　Ｌｏｕｎｇｅ　夢乃屋,名古屋市中区錦三丁目１３番３３号　いづ藤ビル　３Ｆ,名古屋市中区錦３丁目１３番３３号,いづ藤ビル ３Ｆ,052-934-1357,飲食店営業,2022/7/27,4中保管第1-790号,2022/7/29,2028/8/20,,名古屋市保健所,Ｗｉｎｅ　Ｌｏｕｎｇｅ　夢乃屋,052,052-934-1357,,,,名古屋市中区錦３丁目１３番３３号,愛知県名古屋市中区錦３丁目１３番３３号,いづ藤ビル ３Ｆ,114880,愛知県,名古屋市中区,錦３,,2022/07/27,,2022/07/29,2028/08/20,株式会社　シンゲツ ,代表取締役　橋川　登,052-957-3888,,,,,,,,4中保管第1-790号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｗｉｎｅ　Ｌｏｕｎｇｅ　夢乃屋,ＷｉｎｅＬｏｕｎｇｅ夢乃屋,株式会社シンゲツ　,,1,,,,,
株式会社　エンリケスタイル 代表取締役　安部　雅貴,03-6455-0444,鮨エンリケ,名古屋市中区錦三丁目１３番５号　中央マンションビル　１０５号室,名古屋市中区錦３丁目１３番５号,中央マンションビル １０５号室,052-291-4680,飲食店営業,2022/7/27,4中保管第1-750号,2022/8/6,2028/8/20,,名古屋市保健所,鮨エンリケ,052,052-291-4680,,,,名古屋市中区錦３丁目１３番５号,愛知県名古屋市中区錦３丁目１３番５号,中央マンションビル １０５号室,114880,愛知県,名古屋市中区,錦３,,2022/07/27,,2022/08/06,2028/08/20,株式会社　エンリケスタイル ,代表取締役　安部　雅貴,03-6455-0444,,,,,,,,4中保管第1-750号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鮨エンリケ,鮨エンリケ,株式会社エンリケスタイル　,,1,,,,,
石川　和子,,ののはな,名古屋市中区栄四丁目５番１８号　栄ソシアルビル３階Ｄ号,名古屋市中区栄４丁目５番１８号, 栄ソシアルビル３階Ｄ号,251-9703,飲食店営業,2022/7/20,4中保管第1-692号,2022/7/21,2028/7/20,,名古屋市保健所,ののはな,052,052-251-9703,,,,名古屋市中区栄４丁目５番１８号,愛知県名古屋市中区栄４丁目５番１８号, 栄ソシアルビル３階Ｄ号,114858,愛知県,名古屋市中区,栄４,,2022/07/20,,2022/07/21,2028/07/20,,石川　和子,,,,,,,,,4中保管第1-692号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ののはな,ののはな,,,1,,,,,
倉内　秀介,,＠もつ,名古屋市中区栄三丁目７番１０２号　２Ｆ,名古屋市中区栄３丁目７番１０２号,２Ｆ,,飲食店営業,2022/7/27,4中保管第1-773号,2022/7/27,2028/8/20,,名古屋市保健所,＠もつ,052,,,,,名古屋市中区栄３丁目７番１０２号,愛知県名古屋市中区栄３丁目７番１０２号,２Ｆ,114857,愛知県,名古屋市中区,栄３,,2022/07/27,,2022/07/27,2028/08/20,,倉内　秀介,,,,,,,,,4中保管第1-773号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,＠もつ,もつ,,,1,,,,,
