https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70-036632,金生第8991,株式会社ＹＳＳ,,横浜市金沢区洲崎町15-22,横浜市金沢区洲崎町１５－２２,,セブンイレブン横浜洲崎店 ,7019014,コンビニエンスストア,,2021年11月8日,2117年12月31日,2021年11月8日,,141,セブンイレブン横浜洲崎店 ,045,045-701-9014,,,,横浜市金沢区洲崎町１５－２２,神奈川県横浜市金沢区洲崎町１５－２２,,79081,14,14108,洲崎町,,2021/11/08,2021/11/08,,2117/12/31,株式会社ＹＳＳ,,,,,,,,,,金生第8991,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,セブンイレブン横浜洲崎店045-701-90147908114108,00141_87ae2fc7-4c5e-4ce2-b84b-961d223bb1b5,株式会社ＹＳＳ,b2151a75-03c6-40ab-bced-240ff3611abe,aed482ea-92fb-4589-ae49-cae736461c88,2021/11/08,セブンイレブン横浜洲崎店　,セブンイレブン横浜洲崎店,株式会社ＹＳＳ
70-036635,金生第9001,株式会社鳥勝,,横浜市金沢区鳥浜町2-63,横浜市金沢区鳥浜町２－６３,,株式会社　鳥勝 ,7721460,その他の食料・飲料販売業,,2021年11月9日,2117年12月31日,2021年11月9日,,141,株式会社　鳥勝 ,045,045-772-1460,,,,横浜市金沢区鳥浜町２－６３,神奈川県横浜市金沢区鳥浜町２－６３,,79088,14,14108,鳥浜町,,2021/11/09,2021/11/09,,2117/12/31,株式会社鳥勝,,,,,,,,,,金生第9001,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,株式会社鳥勝045-772-14607908814108,fdab6361-40bb-43c0-8d68-66a47a269b2b,株式会社鳥勝,d464d348-deb2-4c6e-a366-47de681b8e64,53618fb5-b2af-4d68-b94d-20c9a55b9539,2021/11/09,株式会社鳥勝　,株式会社鳥勝,株式会社鳥勝
70-036636,金生第9005,,富川 清,横浜市金沢区六浦1-14-12 金沢八景国際コミュニティプラザ202,横浜市金沢区六浦１－１４－１２,金沢八景国際コミュニティプラザ２０２,六浦子供ホーム ,,集団給食施設,,2021年11月5日,2117年12月31日,2021年11月5日,,141,六浦子供ホーム ,045,,,,,横浜市金沢区六浦１－１４－１２,神奈川県横浜市金沢区六浦１－１４－１２,金沢八景国際コミュニティプラザ２０２,79103,14,14108,六浦１,,2021/11/05,2021/11/05,,2117/12/31,,富川 清,,,,,,,,,金生第9005,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,六浦子供ホム7910314108,b6754687-7370-4667-896e-9dfb7e91203f,,personal,c4fd9b70-3388-4317-be13-00d5a00eec16,2021/11/05,六浦子供ホーム　,六浦子供ホム,
70-036637,金生第9006,株式会社横濱屋,,横浜市金沢区大道2-16-2,横浜市金沢区大道２－１６－２,,横濱屋　大道店 ,7901088,百貨店、総合スーパー,,2021年11月5日,2117年12月31日,2021年11月5日,,141,横濱屋　大道店 ,045,045-790-1088,,,,横浜市金沢区大道２－１６－２,神奈川県横浜市金沢区大道２－１６－２,,79112,14,14108,大道２,,2021/11/05,2021/11/05,,2117/12/31,株式会社横濱屋,,,,,,,,,,金生第9006,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,横濱屋大道店045-790-10887911214108,c42c3e0c-b796-4051-acbd-dc61a1ac9248,株式会社横濱屋,71afc58b-7932-4b38-a8c7-9cd3955e6964,3dfb5760-20c4-4797-ac1e-d4015c47de5e,2021/11/05,横濱屋　大道店　,横濱屋大道店,株式会社横濱屋
70-036638,金生第8992,株式会社阿部興業,,横浜市金沢区福浦2-11-1,横浜市金沢区福浦２－１１－１,,株式会社阿部興業　福浦物流センター ,7917660,その他,,2021年11月8日,2117年12月31日,2021年11月8日,,141,株式会社阿部興業　福浦物流センター ,045,045-791-7660,,,,横浜市金沢区福浦２－１１－１,神奈川県横浜市金沢区福浦２－１１－１,,79119,14,14108,福浦２,,2021/11/08,2021/11/08,,2117/12/31,株式会社阿部興業,,,,,,,,,,金生第8992,,その他,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,T,,,,株式会社阿部興業福浦物流センタ045-791-76607911914108,4c272e6c-d60a-4b91-bad0-c5c3b68c861a,株式会社阿部興業,9ade3596-f8f9-43f0-9b72-f6bac8c2f8cc,e198e15e-1775-403e-824e-95185d5078d9,2021/11/08,株式会社阿部興業　福浦物流センター　,株式会社阿部興業福浦物流センタ,株式会社阿部興業
70-036639,金生第8993,株式会社阿部興業,,横浜市金沢区幸浦2-1-19,横浜市金沢区幸浦２－１－１９,,株式会社阿部興業　幸浦物流センター ,7840668,その他,,2021年11月8日,2117年12月31日,2021年11月8日,,141,株式会社阿部興業　幸浦物流センター ,045,045-784-0668,,,,横浜市金沢区幸浦２－１－１９,神奈川県横浜市金沢区幸浦２－１－１９,,79078,14,14108,幸浦２,,2021/11/08,2021/11/08,,2117/12/31,株式会社阿部興業,,,,,,,,,,金生第8993,,その他,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,T,,,,株式会社阿部興業幸浦物流センタ045-784-06687907814108,fe584a0f-6790-48e0-ad60-7e7baa28c37f,株式会社阿部興業,9ade3596-f8f9-43f0-9b72-f6bac8c2f8cc,f1930da3-56d1-483a-ae56-894d2dd6b543,2021/11/08,株式会社阿部興業　幸浦物流センター　,株式会社阿部興業幸浦物流センタ,株式会社阿部興業
70-036640,金生第8997,三菱食品株式会社,,横浜市金沢区昭和町3175-5,横浜市金沢区昭和町３１７５－５,,三菱食品株式会社 横浜シーサイドＳＤＣ,7742191,その他の食料・飲料販売業,,2021年11月8日,2117年12月31日,2021年11月8日,,141,三菱食品株式会社 横浜シーサイドＳＤＣ,045,045-774-2191,,,,横浜市金沢区昭和町３１７５－５,神奈川県横浜市金沢区昭和町３１７５－５,,79080,14,14108,昭和町,,2021/11/08,2021/11/08,,2117/12/31,三菱食品株式会社,,,,,,,,,,金生第8997,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,三菱食品株式会社横浜シサイドＳＤＣ045-774-21917908014108,00141_ff8f86d7-270f-4a5e-bb2c-4951df64b63e,三菱食品株式会社,c1e2e7e5-1037-4cae-986f-9a65d26dab50,a74d3c08-5517-41c5-a30b-6d186931f43f,2021/11/08,三菱食品株式会社横浜シーサイドＳＤＣ,三菱食品株式会社横浜シサイドＳＤＣ,三菱食品株式会社
70-036641,金生第9000,三菱食品株式会社,,横浜市金沢区幸浦2-24-5,横浜市金沢区幸浦２－２４－５,,三菱食品株式会社　横浜金沢低温DC ,7861721,その他の食料・飲料販売業,,2021年11月8日,2117年12月31日,2021年11月8日,,141,三菱食品株式会社　横浜金沢低温DC ,045,045-786-1721,,,,横浜市金沢区幸浦２－２４－５,神奈川県横浜市金沢区幸浦２－２４－５,,79078,14,14108,幸浦２,,2021/11/08,2021/11/08,,2117/12/31,三菱食品株式会社,,,,,,,,,,金生第9000,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,三菱食品株式会社横浜金沢低温ＤＣ045-786-17217907814108,00141_41fcfb55-e2a9-48e4-8fd3-a44efb8dcc98,三菱食品株式会社,c1e2e7e5-1037-4cae-986f-9a65d26dab50,800e2cc3-5226-459a-9d16-e9cf591ee1d3,2021/11/08,三菱食品株式会社横浜金沢低温ＤＣ　,三菱食品株式会社横浜金沢低温ＤＣ,三菱食品株式会社
70-036642,金生第9007,ウエルシア薬局株式会社,,横浜市金沢区能見台通5-10,横浜市金沢区能見台通５－１０,,ハックドラッグ能見台駅前店 ,7901289,百貨店、総合スーパー,ドラッグストア,2021年11月6日,2117年12月31日,2021年11月6日,,141,ハックドラッグ能見台駅前店 ,045,045-790-1289,,,,横浜市金沢区能見台通５－１０,神奈川県横浜市金沢区能見台通５－１０,,79140,14,14108,能見台通,,2021/11/06,2021/11/06,,2117/12/31,ウエルシア薬局株式会社,,,,,,,,,,金生第9007,,百貨店、総合スーパー, ドラッグストア,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,ハックドラッグ能見台駅前店045-790-12897914014108,00141_7c515370-b26c-4c74-8a51-a9b35a3040a4,ウエルシア薬局株式会社,94149aa8-6b39-4ec2-a9a9-5521375611d6,562d3d93-043c-483b-b451-25386413b00f,2021/11/06,ハックドラッグ能見台駅前店　,ハックドラッグ能見台駅前店,ウエルシア薬局株式会社
70-036644,金生第9009,社会福祉法人しののめ会,,横浜市金沢区富岡東4-13-2,横浜市金沢区富岡東４－１３－２,,聖星学園厨房 ,7753311,集団給食施設,,2021年11月8日,2117年12月31日,2021年11月8日,,141,聖星学園厨房 ,045,045-775-3311,,,,横浜市金沢区富岡東４－１３－２,神奈川県横浜市金沢区富岡東４－１３－２,,79130,14,14108,富岡東４,,2021/11/08,2021/11/08,,2117/12/31,社会福祉法人しののめ会,,,,,,,,,,金生第9009,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,聖星学園厨房045-775-33117913014108,69e60718-cf74-49d7-9a0d-ce1e86aa1957,社会福祉法人しののめ会,8edf7c38-ea08-4cfe-b78b-12d4689f1687,7699185f-3ce9-408b-af71-43dc45d8feda,2021/11/08,聖星学園厨房　,聖星学園厨房,社会福祉法人しののめ会
70-036646,金生第9011,生活協同組合ユーコープ,,横浜市金沢区釜利谷南2-3-8,横浜市金沢区釜利谷南２－３－８,,生活協同組合ユーコープ　白山道店 ,7842811,百貨店、総合スーパー,,2021年11月8日,2117年12月31日,2021年11月8日,,141,生活協同組合ユーコープ　白山道店 ,045,045-784-2811,,,,横浜市金沢区釜利谷南２－３－８,神奈川県横浜市金沢区釜利谷南２－３－８,,79160,14,14108,釜利谷南２,,2021/11/08,2021/11/08,,2117/12/31,生活協同組合ユーコープ,,,,,,,,,,金生第9011,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,生活協同組合ユコプ白山道店045-784-28117916014108,00141_6130f261-beab-4411-acb2-1cb470815757,生活協同組合ユーコープ,af2f6322-6591-45aa-b6a6-64d64e256102,c7c07c1b-6171-452f-a9c8-5d8cff9d903b,2021/11/08,生活協同組合ユーコープ　白山道店　,生活協同組合ユコプ白山道店,生活協同組合ユーコープ
70-036647,金生第9015,株式会社海乃家,,横浜市金沢区鳥浜町1-1,横浜市金沢区鳥浜町１－１,,中華街美食店 ,,その他の食料・飲料販売業,,2021年11月9日,2117年12月31日,2021年11月9日,,141,中華街美食店 ,045,,,,,横浜市金沢区鳥浜町１－１,神奈川県横浜市金沢区鳥浜町１－１,,79088,14,14108,鳥浜町,,2021/11/09,2021/11/09,,2117/12/31,株式会社海乃家,,,,,,,,,,金生第9015,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,中華街美食店7908814108,f0ac8901-5e6d-4d0e-b04c-101badfdc6f0,株式会社海乃家,b9f3f5bd-2605-4326-a2b0-e1a4d79b6bf7,80b6bc77-6703-48c7-bae0-8d635b437fd5,2021/11/09,中華街美食店　,中華街美食店,株式会社海乃家
70-036648,金生第9012,NPO法人西柴学童保育,,横浜市金沢区西柴1-17-4,横浜市金沢区西柴１－１７－４,,NPO法人西柴学童保育 ,7811534,集団給食施設,,2021年11月10日,2117年12月31日,2021年11月10日,,141,NPO法人西柴学童保育 ,045,045-781-1534,,,,横浜市金沢区西柴１－１７－４,神奈川県横浜市金沢区西柴１－１７－４,,79095,14,14108,西柴１,,2021/11/10,2021/11/10,,2117/12/31,NPO法人西柴学童保育,,,,,,,,,,金生第9012,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,ＮＰＯ法人西柴学童保育045-781-15347909514108,769f86d9-49c4-4075-86ca-cc466e16ea7b,ＮＰＯ法人西柴学童保育,3a4664a0-cd86-4e95-9bf6-b13c0260ac64,b85d0a63-b228-4e41-bbe0-427e81f95239,2021/11/10,ＮＰＯ法人西柴学童保育　,ＮＰＯ法人西柴学童保育,ＮＰＯ法人西柴学童保育
70-036649,金生第9019,合同会社destiny,,横浜市金沢区能見台東5-6,横浜市金沢区能見台東５－６,,セブンイレブン横浜能見台東店 ,7014608,コンビニエンスストア,,2021年11月11日,2117年12月31日,2021年11月11日,,141,セブンイレブン横浜能見台東店 ,045,045-701-4608,,,,横浜市金沢区能見台東５－６,神奈川県横浜市金沢区能見台東５－６,,79164,14,14108,能見台東,,2021/11/11,2021/11/11,,2117/12/31,合同会社destiny,,,,,,,,,,金生第9019,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,セブンイレブン横浜能見台東店045-701-46087916414108,00141_9443a3ac-f881-479a-af46-f8dc00512815,合同会社ｄｅｓｔｉｎｙ,147216a2-18c3-46d7-8669-ba3ef2159346,be1579a4-623b-47ed-8103-56cc8367904c,2021/11/11,セブンイレブン横浜能見台東店　,セブンイレブン横浜能見台東店,合同会社ｄｅｓｔｉｎｙ
70-036650,金生指令第241,株式会社海乃家,,横浜市金沢区鳥浜町1-1,横浜市金沢区鳥浜町１－１,,中華街美食店 ,,飲食店営業,,2021年11月16日,2028年11月15日,2021年11月16日,,141,中華街美食店 ,045,,,,,横浜市金沢区鳥浜町１－１,神奈川県横浜市金沢区鳥浜町１－１,,79088,14,14108,鳥浜町,,2021/11/16,2021/11/16,,2028/11/15,株式会社海乃家,,,,,,,,,,金生指令第241,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,中華街美食店7908814108,f0ac8901-5e6d-4d0e-b04c-101badfdc6f0,株式会社海乃家,b9f3f5bd-2605-4326-a2b0-e1a4d79b6bf7,4e7e6155-47f9-4108-8b72-c7fef5589424,2021/11/16,中華街美食店　,中華街美食店,株式会社海乃家
70-036651,金生第9025,,小山 恭弘,横浜市金沢区柴町230,横浜市金沢区柴町２３０,,ウコン農園 ,,農産保存食料品製造・加工業,,2021年11月11日,2117年12月31日,2021年11月11日,,141,ウコン農園 ,045,,,,,横浜市金沢区柴町２３０,神奈川県横浜市金沢区柴町２３０,,79079,14,14108,柴町,,2021/11/11,2021/11/11,,2117/12/31,,小山 恭弘,,,,,,,,,金生第9025,,農産保存食料品製造・加工業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,93,,ウコン農園7907914108,500e8e98-d9ca-4365-a2a3-6ae8e6fcd229,,personal,2e149a2b-9cd4-449f-b2db-b214ee434591,2021/11/11,ウコン農園　,ウコン農園,
70-036652,金生第9039,有限会社桜井商店,,横浜市金沢区平潟町23-22,横浜市金沢区平潟町２３－２２,,ファミリーマート平潟店 ,7915039,コンビニエンスストア,,2021年11月12日,2117年12月31日,2021年11月12日,,141,ファミリーマート平潟店 ,045,045-791-5039,,,,横浜市金沢区平潟町２３－２２,神奈川県横浜市金沢区平潟町２３－２２,,79100,14,14108,平潟町,,2021/11/12,2021/11/12,,2117/12/31,有限会社桜井商店,,,,,,,,,,金生第9039,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト平潟店045-791-50397910014108,00141_063a2496-2695-4ef5-8b28-783c36e35254,有限会社桜井商店,3548789c-aed0-48af-be30-c2ece4211603,64dc5d9a-40b9-4309-b410-3f66ec13259f,2021/11/12,ファミリーマート平潟店　,ファミリマト平潟店,有限会社桜井商店
70-036653,金生第9035,有限会社桜井商店,,横浜市金沢区幸浦1-12-1,横浜市金沢区幸浦１－１２－１,,ファミリーマート金沢幸浦一丁目店 ,7690915,コンビニエンスストア,,2021年11月12日,2117年12月31日,2021年11月12日,,141,ファミリーマート金沢幸浦一丁目店 ,045,045-769-0915,,,,横浜市金沢区幸浦１－１２－１,神奈川県横浜市金沢区幸浦１－１２－１,,79077,14,14108,幸浦１,,2021/11/12,2021/11/12,,2117/12/31,有限会社桜井商店,,,,,,,,,,金生第9035,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト金沢幸浦一丁目店045-769-09157907714108,00141_eae56ee2-2728-4701-9144-f5077264a043,有限会社桜井商店,3548789c-aed0-48af-be30-c2ece4211603,6c03b5a9-bc72-4d54-b693-35fd78d927c4,2021/11/12,ファミリーマート金沢幸浦一丁目店　,ファミリマト金沢幸浦一丁目店,有限会社桜井商店
70-036655,金生第9016,,石井 惠一郎,横浜市金沢区六浦3-5-30 双葉荘101,横浜市金沢区六浦３－５－３０,双葉荘１０１,金沢食品 ,,その他の食料・飲料販売業,,2021年11月10日,2117年12月31日,2021年11月10日,,141,金沢食品 ,045,,,,,横浜市金沢区六浦３－５－３０,神奈川県横浜市金沢区六浦３－５－３０,双葉荘１０１,79105,14,14108,六浦３,,2021/11/10,2021/11/10,,2117/12/31,,石井 惠一郎,,,,,,,,,金生第9016,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,金沢食品7910514108,ec85fe8f-6e71-4529-a2cf-e834b1d47e28,,personal,259f4a01-3156-435b-9d72-352454f8c293,2021/11/10,金沢食品　,金沢食品,
